Date,Open,High,Low,Close,Adj Close,Volume
2014-11-28,5000,5070,4930,5000,4733.651367,13140
2014-12-01,5030,5030,4885,4885,4624.777344,11291
2014-12-02,4880,5040,4880,5000,4733.651367,14654
2014-12-03,4985,5050,4920,5010,4743.118652,19084
2014-12-04,4960,5010,4920,4995,4728.917969,15348
2014-12-05,5000,5010,4920,4950,4686.314941,15708
2014-12-08,4950,4980,4935,4945,4681.581543,12151
2014-12-09,4920,4990,4920,4945,4681.581543,5201
2014-12-10,4950,4960,4905,4950,4686.314941,16517
2014-12-11,4920,4945,4890,4910,4648.445313,9024
2014-12-12,4870,4940,4825,4850,4591.64209,14398
2014-12-15,4765,4850,4745,4800,4544.305664,15842
2014-12-16,4770,4770,4690,4760,4506.436035,28629
2014-12-17,4700,4760,4630,4640,4392.828613,72153
2014-12-18,4675,4710,4615,4670,4421.230469,26584
2014-12-19,4700,4865,4665,4790,4534.837891,14674
2014-12-22,4840,4840,4750,4750,4496.969238,9984
2014-12-23,4800,4820,4750,4780,4525.370605,8166
2014-12-24,4755,4830,4755,4770,4515.90332,19872
2014-12-26,4770,4850,4770,4835,4577.440918,12147
2014-12-29,4835,4835,4750,4805,4645.111328,10558
2014-12-30,4715,4830,4715,4785,4625.777344,12012
2015-01-02,4785,4900,4750,4855,4693.447754,5758
2015-01-05,4780,4895,4780,4860,4698.281738,14905
2015-01-06,4845,4860,4725,4795,4635.444336,18976
2015-01-07,4795,4860,4725,4845,4683.780762,4127
2015-01-08,4885,4885,4820,4870,4707.94873,10168
2015-01-09,4910,4910,4800,4850,4688.614258,11540
2015-01-12,4820,4870,4820,4850,4688.614258,11821
2015-01-13,4850,4850,4770,4790,4630.61084,20073
2015-01-14,4790,4790,4715,4785,4625.777344,18690
2015-01-15,4785,4895,4710,4855,4693.447754,13436
2015-01-16,4885,4885,4785,4815,4654.778809,7597
2015-01-19,4850,4850,4795,4835,4674.113281,6487
2015-01-20,4835,4945,4820,4930,4765.952148,34466
2015-01-21,4950,5150,4950,5150,4978.631348,52500
2015-01-22,5090,5240,4950,5000,4833.623047,32312
2015-01-23,5050,5120,5020,5060,4891.626465,16805
2015-01-26,5060,5060,4960,5020,4852.95752,26921
2015-01-27,5020,5080,4985,5000,4833.623047,12159
2015-01-28,5010,5070,4950,5060,4891.626465,8336
2015-01-29,5090,5270,5030,5270,5094.638672,48751
2015-01-30,5310,5430,5250,5300,5123.640625,36175
2015-02-02,5260,5280,5130,5200,5026.967773,13153
2015-02-03,5300,5300,5110,5200,5026.967773,18049
2015-02-04,5220,5370,5200,5370,5191.311035,32914
2015-02-05,5340,5430,5260,5360,5181.643555,19614
2015-02-06,5360,5360,5230,5250,5075.304199,10588
2015-02-09,5290,5300,5100,5190,5017.300293,16077
2015-02-10,5190,5200,5100,5170,4997.966309,12642
2015-02-11,5170,5180,5120,5160,4988.299316,17000
2015-02-12,5220,5220,5070,5170,4997.966309,6775
2015-02-13,5200,5200,5080,5160,4988.299316,25627
2015-02-16,5220,5220,5100,5180,5007.633301,5472
